DateKey,FullDateAlternateKey,week,month,month number,Quarter,year,fiscal Quarter,fiscal year
20050604,2005-06-04,Saturday,Jun,6,2,2005,4,2005
20050605,2005-06-05,Sunday,Jun,6,2,2005,4,2005
20050606,2005-06-06,Monday,Jun,6,2,2005,4,2005
20050607,2005-06-07,Tuesday,Jun,6,2,2005,4,2005
20050608,2005-06-08,Wednesday,Jun,6,2,2005,4,2005
20050609,2005-06-09,Thursday,Jun,6,2,2005,4,2005
20050610,2005-06-10,Friday,Jun,6,2,2005,4,2005
20050611,2005-06-11,Saturday,Jun,6,2,2005,4,2005
20050612,2005-06-12,Sunday,Jun,6,2,2005,4,2005
20050613,2005-06-13,Monday,Jun,6,2,2005,4,2005
20050614,2005-06-14,Tuesday,Jun,6,2,2005,4,2005
20050615,2005-06-15,Wednesday,Jun,6,2,2005,4,2005
20050616,2005-06-16,Thursday,Jun,6,2,2005,4,2005
20050617,2005-06-17,Friday,Jun,6,2,2005,4,2005
20050618,2005-06-18,Saturday,Jun,6,2,2005,4,2005
20050619,2005-06-19,Sunday,Jun,6,2,2005,4,2005
20050620,2005-06-20,Monday,Jun,6,2,2005,4,2005
20050621,2005-06-21,Tuesday,Jun,6,2,2005,4,2005
20050622,2005-06-22,Wednesday,Jun,6,2,2005,4,2005
20050623,2005-06-23,Thursday,Jun,6,2,2005,4,2005
20050624,2005-06-24,Friday,Jun,6,2,2005,4,2005
20050625,2005-06-25,Saturday,Jun,6,2,2005,4,2005
20050626,2005-06-26,Sunday,Jun,6,2,2005,4,2005
20050627,2005-06-27,Monday,Jun,6,2,2005,4,2005
20050628,2005-06-28,Tuesday,Jun,6,2,2005,4,2005
20050629,2005-06-29,Wednesday,Jun,6,2,2005,4,2005
20050630,2005-06-30,Thursday,Jun,6,2,2005,4,2005
20050701,2005-07-01,Friday,Jul,7,3,2005,1,2006
20050702,2005-07-02,Saturday,Jul,7,3,2005,1,2006
20050703,2005-07-03,Sunday,Jul,7,3,2005,1,2006
20050704,2005-07-04,Monday,Jul,7,3,2005,1,2006
20050705,2005-07-05,Tuesday,Jul,7,3,2005,1,2006
20050706,2005-07-06,Wednesday,Jul,7,3,2005,1,2006
20050707,2005-07-07,Thursday,Jul,7,3,2005,1,2006
20050708,2005-07-08,Friday,Jul,7,3,2005,1,2006
20050709,2005-07-09,Saturday,Jul,7,3,2005,1,2006
20050710,2005-07-10,Sunday,Jul,7,3,2005,1,2006
20050711,2005-07-11,Monday,Jul,7,3,2005,1,2006
20050712,2005-07-12,Tuesday,Jul,7,3,2005,1,2006
20050713,2005-07-13,Wednesday,Jul,7,3,2005,1,2006
20050714,2005-07-14,Thursday,Jul,7,3,2005,1,2006
20050715,2005-07-15,Friday,Jul,7,3,2005,1,2006
20050716,2005-07-16,Saturday,Jul,7,3,2005,1,2006
20050717,2005-07-17,Sunday,Jul,7,3,2005,1,2006
20050718,2005-07-18,Monday,Jul,7,3,2005,1,2006
20050719,2005-07-19,Tuesday,Jul,7,3,2005,1,2006
20050720,2005-07-20,Wednesday,Jul,7,3,2005,1,2006
20050721,2005-07-21,Thursday,Jul,7,3,2005,1,2006
20050722,2005-07-22,Friday,Jul,7,3,2005,1,2006
20050723,2005-07-23,Saturday,Jul,7,3,2005,1,2006
20050724,2005-07-24,Sunday,Jul,7,3,2005,1,2006
20050725,2005-07-25,Monday,Jul,7,3,2005,1,2006
20050726,2005-07-26,Tuesday,Jul,7,3,2005,1,2006
20050727,2005-07-27,Wednesday,Jul,7,3,2005,1,2006
20050728,2005-07-28,Thursday,Jul,7,3,2005,1,2006
20050729,2005-07-29,Friday,Jul,7,3,2005,1,2006
20050730,2005-07-30,Saturday,Jul,7,3,2005,1,2006
20050731,2005-07-31,Sunday,Jul,7,3,2005,1,2006
20050801,2005-08-01,Monday,Aug,8,3,2005,1,2006
20050802,2005-08-02,Tuesday,Aug,8,3,2005,1,2006
20050803,2005-08-03,Wednesday,Aug,8,3,2005,1,2006
20050804,2005-08-04,Thursday,Aug,8,3,2005,1,2006
20050805,2005-08-05,Friday,Aug,8,3,2005,1,2006
20050806,2005-08-06,Saturday,Aug,8,3,2005,1,2006
20050807,2005-08-07,Sunday,Aug,8,3,2005,1,2006
20050808,2005-08-08,Monday,Aug,8,3,2005,1,2006
20050809,2005-08-09,Tuesday,Aug,8,3,2005,1,2006
20050810,2005-08-10,Wednesday,Aug,8,3,2005,1,2006
20050811,2005-08-11,Thursday,Aug,8,3,2005,1,2006
20050812,2005-08-12,Friday,Aug,8,3,2005,1,2006
20050813,2005-08-13,Saturday,Aug,8,3,2005,1,2006
20050814,2005-08-14,Sunday,Aug,8,3,2005,1,2006
20050815,2005-08-15,Monday,Aug,8,3,2005,1,2006
20050816,2005-08-16,Tuesday,Aug,8,3,2005,1,2006
20050817,2005-08-17,Wednesday,Aug,8,3,2005,1,2006
20050818,2005-08-18,Thursday,Aug,8,3,2005,1,2006
20050819,2005-08-19,Friday,Aug,8,3,2005,1,2006
20050820,2005-08-20,Saturday,Aug,8,3,2005,1,2006
20050821,2005-08-21,Sunday,Aug,8,3,2005,1,2006
20050822,2005-08-22,Monday,Aug,8,3,2005,1,2006
20050823,2005-08-23,Tuesday,Aug,8,3,2005,1,2006
20050824,2005-08-24,Wednesday,Aug,8,3,2005,1,2006
20050825,2005-08-25,Thursday,Aug,8,3,2005,1,2006
20050826,2005-08-26,Friday,Aug,8,3,2005,1,2006
20050827,2005-08-27,Saturday,Aug,8,3,2005,1,2006
20050828,2005-08-28,Sunday,Aug,8,3,2005,1,2006
20050829,2005-08-29,Monday,Aug,8,3,2005,1,2006
20050830,2005-08-30,Tuesday,Aug,8,3,2005,1,2006
20050831,2005-08-31,Wednesday,Aug,8,3,2005,1,2006
20050901,2005-09-01,Thursday,Sep,9,3,2005,1,2006
20050902,2005-09-02,Friday,Sep,9,3,2005,1,2006
20050903,2005-09-03,Saturday,Sep,9,3,2005,1,2006
20050904,2005-09-04,Sunday,Sep,9,3,2005,1,2006
20050905,2005-09-05,Monday,Sep,9,3,2005,1,2006
20050906,2005-09-06,Tuesday,Sep,9,3,2005,1,2006
20050907,2005-09-07,Wednesday,Sep,9,3,2005,1,2006
20050908,2005-09-08,Thursday,Sep,9,3,2005,1,2006
20050909,2005-09-09,Friday,Sep,9,3,2005,1,2006
20050910,2005-09-10,Saturday,Sep,9,3,2005,1,2006
20050911,2005-09-11,Sunday,Sep,9,3,2005,1,2006
20050912,2005-09-12,Monday,Sep,9,3,2005,1,2006
20050913,2005-09-13,Tuesday,Sep,9,3,2005,1,2006
20050914,2005-09-14,Wednesday,Sep,9,3,2005,1,2006
20050915,2005-09-15,Thursday,Sep,9,3,2005,1,2006
20050916,2005-09-16,Friday,Sep,9,3,2005,1,2006
20050917,2005-09-17,Saturday,Sep,9,3,2005,1,2006
20050918,2005-09-18,Sunday,Sep,9,3,2005,1,2006
20050919,2005-09-19,Monday,Sep,9,3,2005,1,2006
20050920,2005-09-20,Tuesday,Sep,9,3,2005,1,2006
20050921,2005-09-21,Wednesday,Sep,9,3,2005,1,2006
20050922,2005-09-22,Thursday,Sep,9,3,2005,1,2006
20050923,2005-09-23,Friday,Sep,9,3,2005,1,2006
20050924,2005-09-24,Saturday,Sep,9,3,2005,1,2006
20050925,2005-09-25,Sunday,Sep,9,3,2005,1,2006
20050926,2005-09-26,Monday,Sep,9,3,2005,1,2006
20050927,2005-09-27,Tuesday,Sep,9,3,2005,1,2006
20050928,2005-09-28,Wednesday,Sep,9,3,2005,1,2006
20050929,2005-09-29,Thursday,Sep,9,3,2005,1,2006
20050930,2005-09-30,Friday,Sep,9,3,2005,1,2006
20051001,2005-10-01,Saturday,Oct,10,4,2005,2,2006
20051002,2005-10-02,Sunday,Oct,10,4,2005,2,2006
20051003,2005-10-03,Monday,Oct,10,4,2005,2,2006
20051004,2005-10-04,Tuesday,Oct,10,4,2005,2,2006
20051005,2005-10-05,Wednesday,Oct,10,4,2005,2,2006
20051006,2005-10-06,Thursday,Oct,10,4,2005,2,2006
20051007,2005-10-07,Friday,Oct,10,4,2005,2,2006
20051008,2005-10-08,Saturday,Oct,10,4,2005,2,2006
20051009,2005-10-09,Sunday,Oct,10,4,2005,2,2006
20051010,2005-10-10,Monday,Oct,10,4,2005,2,2006
20051011,2005-10-11,Tuesday,Oct,10,4,2005,2,2006
20051012,2005-10-12,Wednesday,Oct,10,4,2005,2,2006
20051013,2005-10-13,Thursday,Oct,10,4,2005,2,2006
20051014,2005-10-14,Friday,Oct,10,4,2005,2,2006
20051015,2005-10-15,Saturday,Oct,10,4,2005,2,2006
20051016,2005-10-16,Sunday,Oct,10,4,2005,2,2006
20051017,2005-10-17,Monday,Oct,10,4,2005,2,2006
20051018,2005-10-18,Tuesday,Oct,10,4,2005,2,2006
20051019,2005-10-19,Wednesday,Oct,10,4,2005,2,2006
20051020,2005-10-20,Thursday,Oct,10,4,2005,2,2006
20051021,2005-10-21,Friday,Oct,10,4,2005,2,2006
20051022,2005-10-22,Saturday,Oct,10,4,2005,2,2006
20051023,2005-10-23,Sunday,Oct,10,4,2005,2,2006
20051024,2005-10-24,Monday,Oct,10,4,2005,2,2006
20051025,2005-10-25,Tuesday,Oct,10,4,2005,2,2006
20051026,2005-10-26,Wednesday,Oct,10,4,2005,2,2006
20051027,2005-10-27,Thursday,Oct,10,4,2005,2,2006
20051028,2005-10-28,Friday,Oct,10,4,2005,2,2006
20051029,2005-10-29,Saturday,Oct,10,4,2005,2,2006
20051030,2005-10-30,Sunday,Oct,10,4,2005,2,2006
20051031,2005-10-31,Monday,Oct,10,4,2005,2,2006
20051101,2005-11-01,Tuesday,Nov,11,4,2005,2,2006
20051102,2005-11-02,Wednesday,Nov,11,4,2005,2,2006
20051103,2005-11-03,Thursday,Nov,11,4,2005,2,2006
20051104,2005-11-04,Friday,Nov,11,4,2005,2,2006
20051105,2005-11-05,Saturday,Nov,11,4,2005,2,2006
20051106,2005-11-06,Sunday,Nov,11,4,2005,2,2006
20051107,2005-11-07,Monday,Nov,11,4,2005,2,2006
20051108,2005-11-08,Tuesday,Nov,11,4,2005,2,2006
20051109,2005-11-09,Wednesday,Nov,11,4,2005,2,2006
20051110,2005-11-10,Thursday,Nov,11,4,2005,2,2006
20051111,2005-11-11,Friday,Nov,11,4,2005,2,2006
20051112,2005-11-12,Saturday,Nov,11,4,2005,2,2006
20051113,2005-11-13,Sunday,Nov,11,4,2005,2,2006
20051114,2005-11-14,Monday,Nov,11,4,2005,2,2006
20051115,2005-11-15,Tuesday,Nov,11,4,2005,2,2006
20051116,2005-11-16,Wednesday,Nov,11,4,2005,2,2006
20051117,2005-11-17,Thursday,Nov,11,4,2005,2,2006
20051118,2005-11-18,Friday,Nov,11,4,2005,2,2006
20051119,2005-11-19,Saturday,Nov,11,4,2005,2,2006
20051120,2005-11-20,Sunday,Nov,11,4,2005,2,2006
20051121,2005-11-21,Monday,Nov,11,4,2005,2,2006
20051122,2005-11-22,Tuesday,Nov,11,4,2005,2,2006
20051123,2005-11-23,Wednesday,Nov,11,4,2005,2,2006
20051124,2005-11-24,Thursday,Nov,11,4,2005,2,2006
20051125,2005-11-25,Friday,Nov,11,4,2005,2,2006
20051126,2005-11-26,Saturday,Nov,11,4,2005,2,2006
20051127,2005-11-27,Sunday,Nov,11,4,2005,2,2006
20051128,2005-11-28,Monday,Nov,11,4,2005,2,2006
20051129,2005-11-29,Tuesday,Nov,11,4,2005,2,2006
20051130,2005-11-30,Wednesday,Nov,11,4,2005,2,2006
20051201,2005-12-01,Thursday,Dec,12,4,2005,2,2006
20051202,2005-12-02,Friday,Dec,12,4,2005,2,2006
20051203,2005-12-03,Saturday,Dec,12,4,2005,2,2006
20051204,2005-12-04,Sunday,Dec,12,4,2005,2,2006
20051205,2005-12-05,Monday,Dec,12,4,2005,2,2006
20051206,2005-12-06,Tuesday,Dec,12,4,2005,2,2006
20051207,2005-12-07,Wednesday,Dec,12,4,2005,2,2006
20051208,2005-12-08,Thursday,Dec,12,4,2005,2,2006
20051209,2005-12-09,Friday,Dec,12,4,2005,2,2006
20051210,2005-12-10,Saturday,Dec,12,4,2005,2,2006
20051211,2005-12-11,Sunday,Dec,12,4,2005,2,2006
20051212,2005-12-12,Monday,Dec,12,4,2005,2,2006
20051213,2005-12-13,Tuesday,Dec,12,4,2005,2,2006
20051214,2005-12-14,Wednesday,Dec,12,4,2005,2,2006
20051215,2005-12-15,Thursday,Dec,12,4,2005,2,2006
20051216,2005-12-16,Friday,Dec,12,4,2005,2,2006
20051217,2005-12-17,Saturday,Dec,12,4,2005,2,2006
20051218,2005-12-18,Sunday,Dec,12,4,2005,2,2006
20051219,2005-12-19,Monday,Dec,12,4,2005,2,2006
20051220,2005-12-20,Tuesday,Dec,12,4,2005,2,2006
20051221,2005-12-21,Wednesday,Dec,12,4,2005,2,2006
20051222,2005-12-22,Thursday,Dec,12,4,2005,2,2006
20051223,2005-12-23,Friday,Dec,12,4,2005,2,2006
20051224,2005-12-24,Saturday,Dec,12,4,2005,2,2006
20051225,2005-12-25,Sunday,Dec,12,4,2005,2,2006
20051226,2005-12-26,Monday,Dec,12,4,2005,2,2006
20051227,2005-12-27,Tuesday,Dec,12,4,2005,2,2006
20051228,2005-12-28,Wednesday,Dec,12,4,2005,2,2006
20051229,2005-12-29,Thursday,Dec,12,4,2005,2,2006
20051230,2005-12-30,Friday,Dec,12,4,2005,2,2006
20051231,2005-12-31,Saturday,Dec,12,4,2005,2,2006
20060101,2006-01-01,Sunday,Jan,1,1,2006,3,2006
20060102,2006-01-02,Monday,Jan,1,1,2006,3,2006
20060103,2006-01-03,Tuesday,Jan,1,1,2006,3,2006
20060104,2006-01-04,Wednesday,Jan,1,1,2006,3,2006
20060105,2006-01-05,Thursday,Jan,1,1,2006,3,2006
20060106,2006-01-06,Friday,Jan,1,1,2006,3,2006
20060107,2006-01-07,Saturday,Jan,1,1,2006,3,2006
20060108,2006-01-08,Sunday,Jan,1,1,2006,3,2006
20060109,2006-01-09,Monday,Jan,1,1,2006,3,2006
20060110,2006-01-10,Tuesday,Jan,1,1,2006,3,2006
20060111,2006-01-11,Wednesday,Jan,1,1,2006,3,2006
20060112,2006-01-12,Thursday,Jan,1,1,2006,3,2006
20060113,2006-01-13,Friday,Jan,1,1,2006,3,2006
20060114,2006-01-14,Saturday,Jan,1,1,2006,3,2006
20060115,2006-01-15,Sunday,Jan,1,1,2006,3,2006
20060116,2006-01-16,Monday,Jan,1,1,2006,3,2006
20060117,2006-01-17,Tuesday,Jan,1,1,2006,3,2006
20060118,2006-01-18,Wednesday,Jan,1,1,2006,3,2006
20060119,2006-01-19,Thursday,Jan,1,1,2006,3,2006
20060120,2006-01-20,Friday,Jan,1,1,2006,3,2006
20060121,2006-01-21,Saturday,Jan,1,1,2006,3,2006
20060122,2006-01-22,Sunday,Jan,1,1,2006,3,2006
20060123,2006-01-23,Monday,Jan,1,1,2006,3,2006
20060124,2006-01-24,Tuesday,Jan,1,1,2006,3,2006
20060125,2006-01-25,Wednesday,Jan,1,1,2006,3,2006
20060126,2006-01-26,Thursday,Jan,1,1,2006,3,2006
20060127,2006-01-27,Friday,Jan,1,1,2006,3,2006
20060128,2006-01-28,Saturday,Jan,1,1,2006,3,2006
20060129,2006-01-29,Sunday,Jan,1,1,2006,3,2006
20060130,2006-01-30,Monday,Jan,1,1,2006,3,2006
20060131,2006-01-31,Tuesday,Jan,1,1,2006,3,2006
20060201,2006-02-01,Wednesday,Feb,2,1,2006,3,2006
20060202,2006-02-02,Thursday,Feb,2,1,2006,3,2006
20060203,2006-02-03,Friday,Feb,2,1,2006,3,2006
20060204,2006-02-04,Saturday,Feb,2,1,2006,3,2006
20060205,2006-02-05,Sunday,Feb,2,1,2006,3,2006
20060206,2006-02-06,Monday,Feb,2,1,2006,3,2006
20060207,2006-02-07,Tuesday,Feb,2,1,2006,3,2006
20060208,2006-02-08,Wednesday,Feb,2,1,2006,3,2006
20060209,2006-02-09,Thursday,Feb,2,1,2006,3,2006
20060210,2006-02-10,Friday,Feb,2,1,2006,3,2006
20060211,2006-02-11,Saturday,Feb,2,1,2006,3,2006
20060212,2006-02-12,Sunday,Feb,2,1,2006,3,2006
20060213,2006-02-13,Monday,Feb,2,1,2006,3,2006
20060214,2006-02-14,Tuesday,Feb,2,1,2006,3,2006
20060215,2006-02-15,Wednesday,Feb,2,1,2006,3,2006
20060216,2006-02-16,Thursday,Feb,2,1,2006,3,2006
20060217,2006-02-17,Friday,Feb,2,1,2006,3,2006
20060218,2006-02-18,Saturday,Feb,2,1,2006,3,2006
20060219,2006-02-19,Sunday,Feb,2,1,2006,3,2006
20060220,2006-02-20,Monday,Feb,2,1,2006,3,2006
20060221,2006-02-21,Tuesday,Feb,2,1,2006,3,2006
20060222,2006-02-22,Wednesday,Feb,2,1,2006,3,2006
20060223,2006-02-23,Thursday,Feb,2,1,2006,3,2006
20060224,2006-02-24,Friday,Feb,2,1,2006,3,2006
20060225,2006-02-25,Saturday,Feb,2,1,2006,3,2006
20060226,2006-02-26,Sunday,Feb,2,1,2006,3,2006
20060227,2006-02-27,Monday,Feb,2,1,2006,3,2006
20060228,2006-02-28,Tuesday,Feb,2,1,2006,3,2006
20060301,2006-03-01,Wednesday,Mar,3,1,2006,3,2006
20060302,2006-03-02,Thursday,Mar,3,1,2006,3,2006
20060303,2006-03-03,Friday,Mar,3,1,2006,3,2006
20060304,2006-03-04,Saturday,Mar,3,1,2006,3,2006
20060305,2006-03-05,Sunday,Mar,3,1,2006,3,2006
20060306,2006-03-06,Monday,Mar,3,1,2006,3,2006
20060307,2006-03-07,Tuesday,Mar,3,1,2006,3,2006
20060308,2006-03-08,Wednesday,Mar,3,1,2006,3,2006
20060309,2006-03-09,Thursday,Mar,3,1,2006,3,2006
20060310,2006-03-10,Friday,Mar,3,1,2006,3,2006
20060311,2006-03-11,Saturday,Mar,3,1,2006,3,2006
20060312,2006-03-12,Sunday,Mar,3,1,2006,3,2006
